{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(321.9708113123583), 'rmse': np.float64(17.94354511551043), 'r2': 0.9207804533913555, 'mae': np.float64(11.27360237318642), 'z_threshold': 1.5, 'mse_peak': np.float64(1673.1499224873698), 'rmse_peak': np.float64(40.904155320546224), 'r2_peak': 0.5604265053199667, 'mae_peak': np.float64(33.88898478625414)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(282.7843381436446), 'rmse': np.float64(16.81619273627787), 'r2': 0.9301347774497346, 'mae': np.float64(11.730139766995762), 'z_threshold': 1.5, 'mse_peak': np.float64(997.4898216817617), 'rmse_peak': np.float64(31.583062259409896), 'r2_peak': 0.7382800848171318, 'mae_peak': np.float64(25.69923361711042)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(272.63418210905047), 'rmse': np.float64(16.511637777914416), 'r2': 0.9329195208451848, 'mae': np.float64(10.676398482355944), 'z_threshold': 1.5, 'mse_peak': np.float64(1302.5003089196475), 'rmse_peak': np.float64(36.09016914506841), 'r2_peak': 0.6578043575661976, 'mae_peak': np.float64(28.124475320565388)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(349.4164839930248), 'rmse': np.float64(18.69268530717363), 'r2': 0.9151227827143997, 'mae': np.float64(12.112638316423885), 'z_threshold': 1.5, 'mse_peak': np.float64(1536.1739516155676), 'rmse_peak': np.float64(39.194055054504986), 'r2_peak': 0.59369134093252, 'mae_peak': np.float64(30.805574310379686)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(273.5764236516872), 'rmse': np.float64(16.54014581712287), 'r2': 0.9335451914313087, 'mae': np.float64(10.607036744594426), 'z_threshold': 1.5, 'mse_peak': np.float64(1366.7887499970298), 'rmse_peak': np.float64(36.970106166969956), 'r2_peak': 0.6384926956639443, 'mae_peak': np.float64(30.41942363536932)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(412.8338265627551), 'rmse': np.float64(20.318312591422426), 'r2': 0.8984239955426111, 'mae': np.float64(13.031601169500137), 'z_threshold': 1.5, 'mse_peak': np.float64(1751.0694615183515), 'rmse_peak': np.float64(41.845781884418784), 'r2_peak': 0.5399553188378932, 'mae_peak': np.float64(34.183092652247474)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(563.0718203181848), 'rmse': np.float64(23.729134419910576), 'r2': 0.8614585771551939, 'mae': np.float64(14.8360304810765), 'z_threshold': 1.5, 'mse_peak': np.float64(2699.8716900838954), 'rmse_peak': np.float64(51.96028954965412), 'r2_peak': 0.29068398590753053, 'mae_peak': np.float64(43.57430497685068)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(413.69694340224396), 'rmse': np.float64(20.339541376398927), 'r2': 0.8977912666277841, 'mae': np.float64(13.033175686690468), 'z_threshold': 1.5, 'mse_peak': np.float64(1983.2443222343334), 'rmse_peak': np.float64(44.53363136141419), 'r2_peak': 0.47963926596568995, 'mae_peak': np.float64(34.834040706523545)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(439.99840958881), 'rmse': np.float64(20.976139053429495), 'r2': 0.8912931776579865, 'mae': np.float64(14.99420894468474), 'z_threshold': 1.5, 'mse_peak': np.float64(1913.7878452773698), 'rmse_peak': np.float64(43.74686097627314), 'r2_peak': 0.49786315443347307, 'mae_peak': np.float64(35.500447807210406)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(339.4665743549), 'rmse': np.float64(18.424618703107534), 'r2': 0.9161307591453883, 'mae': np.float64(11.987977130578354), 'z_threshold': 1.5, 'mse_peak': np.float64(1497.6491117187866), 'rmse_peak': np.float64(38.699471724027276), 'r2_peak': 0.6070490244884015, 'mae_peak': np.float64(30.26043448904951)}
