{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(369.1993373352374), 'rmse': np.float64(19.21456055535066), 'r2': 0.9091600757450808}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(308.1685396861679), 'rmse': np.float64(17.554729838028493), 'r2': 0.9238633095824855}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(315.6730476858472), 'rmse': np.float64(17.76719020233214), 'r2': 0.9223299913047678}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(383.15220706682504), 'rmse': np.float64(19.574274113407757), 'r2': 0.9057270315833431}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(366.79979297911416), 'rmse': np.float64(19.152017987123816), 'r2': 0.9109001802856475}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(348.9357711652329), 'rmse': np.float64(18.67982256781988), 'r2': 0.9152395532990906}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(399.9660890322356), 'rmse': np.float64(19.9991522078371), 'r2': 0.9015900475486666}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(386.633111083756), 'rmse': np.float64(19.662988355887208), 'r2': 0.9044777071867155}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(430.6225225071072), 'rmse': np.float64(20.751446275069775), 'r2': 0.8940471626808786}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(381.2376420121978), 'rmse': np.float64(19.525307731562076), 'r2': 0.9058107217727496}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(407.73505079398166), 'rmse': np.float64(20.192450341500944), 'r2': 0.8992642228623173}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(348.7547467389536), 'rmse': np.float64(18.674976485633216), 'r2': 0.913836006066215}
