{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(349.3587482206329), 'rmse': np.float64(18.691140902059267), 'r2': 0.9136867803410025, 'mae': np.float64(11.831789369785545), 'z_threshold': 1.5, 'mse_peak': np.float64(1891.3182234648136), 'rmse_peak': np.float64(43.48928860610177), 'r2_peak': 0.503758700821163, 'mae_peak': np.float64(35.96725005788521)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(295.7892636621124), 'rmse': np.float64(17.198525043215547), 'r2': 0.9269217564544352, 'mae': np.float64(11.445866988217109), 'z_threshold': 1.5, 'mse_peak': np.float64(1357.2874898275281), 'rmse_peak': np.float64(36.841382843584036), 'r2_peak': 0.643876900801339, 'mae_peak': np.float64(30.53356513847679)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(300.00970214160594), 'rmse': np.float64(17.32078815012775), 'r2': 0.9261838907540118, 'mae': np.float64(11.126080332834333), 'z_threshold': 1.5, 'mse_peak': np.float64(1589.051058276685), 'rmse_peak': np.float64(39.86290328459136), 'r2_peak': 0.582521137213297, 'mae_peak': np.float64(31.03066721038151)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(287.3023361503152), 'rmse': np.float64(16.949995166675276), 'r2': 0.9290185524908496, 'mae': np.float64(11.209614918259325), 'z_threshold': 1.5, 'mse_peak': np.float64(1481.5251256918668), 'rmse_peak': np.float64(38.49058489672334), 'r2_peak': 0.6112796122735082, 'mae_peak': np.float64(31.560072151259742)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(357.2146727864728), 'rmse': np.float64(18.900123618285484), 'r2': 0.913228514427192, 'mae': np.float64(12.414106160370585), 'z_threshold': 1.5, 'mse_peak': np.float64(1582.3022992598778), 'rmse_peak': np.float64(39.77816359838496), 'r2_peak': 0.5814906737771843, 'mae_peak': np.float64(30.951848130239238)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(318.824032521772), 'rmse': np.float64(17.855644276300197), 'r2': 0.9225540353020039, 'mae': np.float64(12.090587591184846), 'z_threshold': 1.5, 'mse_peak': np.float64(1731.9449434673165), 'rmse_peak': np.float64(41.6166426260855), 'r2_peak': 0.5419111053023428, 'mae_peak': np.float64(33.391953851889795)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(372.1121703655925), 'rmse': np.float64(19.290209184080727), 'r2': 0.9096097437138451, 'mae': np.float64(13.414399632768243), 'z_threshold': 1.5, 'mse_peak': np.float64(1667.9769735626298), 'rmse_peak': np.float64(40.840873809979016), 'r2_peak': 0.5588302439506112, 'mae_peak': np.float64(33.106927371540124)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(337.9832398768352), 'rmse': np.float64(18.384320489940205), 'r2': 0.9179000470667836, 'mae': np.float64(11.930129361127314), 'z_threshold': 1.5, 'mse_peak': np.float64(1767.0434024622182), 'rmse_peak': np.float64(42.036215367968346), 'r2_peak': 0.5326277765526555, 'mae_peak': np.float64(33.50272125671103)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(312.3786940037618), 'rmse': np.float64(17.674238144931785), 'r2': 0.923140552995126, 'mae': np.float64(11.856901732218809), 'z_threshold': 1.5, 'mse_peak': np.float64(1430.65328366929), 'rmse_peak': np.float64(37.823977628870416), 'r2_peak': 0.6241357363582449, 'mae_peak': np.float64(31.13868415143612)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(366.4993571948283), 'rmse': np.float64(19.14417293055065), 'r2': 0.9094519897281612, 'mae': np.float64(12.517040483054613), 'z_threshold': 1.5, 'mse_peak': np.float64(1688.2868294455266), 'rmse_peak': np.float64(41.08876767981155), 'r2_peak': 0.5570297799511716, 'mae_peak': np.float64(33.3537431885677)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(351.3791666441085), 'rmse': np.float64(18.745110472976908), 'r2': 0.9131876120216839, 'mae': np.float64(12.378765344305416), 'z_threshold': 1.5, 'mse_peak': np.float64(1608.0275903646866), 'rmse_peak': np.float64(40.10021933063068), 'r2_peak': 0.5780880812874838, 'mae_peak': np.float64(32.45328561008797)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(324.88918235978247), 'rmse': np.float64(18.024682586935683), 'r2': 0.9197322766220174, 'mae': np.float64(12.688906417404676), 'z_threshold': 1.5, 'mse_peak': np.float64(1293.230807347651), 'rmse_peak': np.float64(35.961518423832594), 'r2_peak': 0.660683999120662, 'mae_peak': np.float64(29.238429561764807)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(296.8356229958901), 'rmse': np.float64(17.228918218968076), 'r2': 0.9269648594070355, 'mae': np.float64(11.941002756954813), 'z_threshold': 1.5, 'mse_peak': np.float64(980.3017636609177), 'rmse_peak': np.float64(31.30977105730602), 'r2_peak': 0.7424530424310004, 'mae_peak': np.float64(25.752763533026865)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(389.3874249510032), 'rmse': np.float64(19.73290209145637), 'r2': 0.9041928827834027, 'mae': np.float64(14.30688641638606), 'z_threshold': 1.5, 'mse_peak': np.float64(1643.7005812688235), 'rmse_peak': np.float64(40.54257738808454), 'r2_peak': 0.5681634986769137, 'mae_peak': np.float64(32.35334442425495)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(396.1455394531274), 'rmse': np.float64(19.903405222552433), 'r2': 0.9025300774980248, 'mae': np.float64(13.251359938188793), 'z_threshold': 1.5, 'mse_peak': np.float64(1682.8530606337545), 'rmse_peak': np.float64(41.02259207599825), 'r2_peak': 0.5578772762956911, 'mae_peak': np.float64(31.992689740343714)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(375.0299796580325), 'rmse': np.float64(19.36569078700867), 'r2': 0.9077254710386284, 'mae': np.float64(12.534997329497223), 'z_threshold': 1.5, 'mse_peak': np.float64(1537.3603524081025), 'rmse_peak': np.float64(39.20918709190618), 'r2_peak': 0.5961014290423468, 'mae_peak': np.float64(31.32013392589663)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(332.78681046945223), 'rmse': np.float64(18.24244529851884), 'r2': 0.9191623185626199, 'mae': np.float64(12.17463505629112), 'z_threshold': 1.5, 'mse_peak': np.float64(1721.306671473667), 'rmse_peak': np.float64(41.48863303934786), 'r2_peak': 0.5447248634864267, 'mae_peak': np.float64(32.53459818431425)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(252.0720951373654), 'rmse': np.float64(15.87677848738104), 'r2': 0.9377226011132983, 'mae': np.float64(10.108331967760101), 'z_threshold': 1.5, 'mse_peak': np.float64(1314.9870428423794), 'rmse_peak': np.float64(36.262750072800316), 'r2_peak': 0.6549756299878535, 'mae_peak': np.float64(28.056827701024776)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(389.2905595479276), 'rmse': np.float64(19.730447525282532), 'r2': 0.9054369186239023, 'mae': np.float64(13.184161940838269), 'z_threshold': 1.5, 'mse_peak': np.float64(1938.550594998355), 'rmse_peak': np.float64(44.02897449405738), 'r2_peak': 0.4872651681406983, 'mae_peak': np.float64(35.625990163331004)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(273.4054461800135), 'rmse': np.float64(16.5349764493335), 'r2': 0.9327297546059156, 'mae': np.float64(10.54910609082216), 'z_threshold': 1.5, 'mse_peak': np.float64(1420.4539027654346), 'rmse_peak': np.float64(37.688909545984934), 'r2_peak': 0.6268153393317881, 'mae_peak': np.float64(30.913777104412198)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(280.2075654764182), 'rmse': np.float64(16.739401586568686), 'r2': 0.9307713996793779, 'mae': np.float64(10.950039782147327), 'z_threshold': 1.5, 'mse_peak': np.float64(1374.6464347090423), 'rmse_peak': np.float64(37.076224655553084), 'r2_peak': 0.639322286324778, 'mae_peak': np.float64(30.054685241264835)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(283.1705784029974), 'rmse': np.float64(16.827672994297146), 'r2': 0.9300393522155979, 'mae': np.float64(10.934151075515347), 'z_threshold': 1.5, 'mse_peak': np.float64(1217.571375946772), 'rmse_peak': np.float64(34.89371542193196), 'r2_peak': 0.6805354096700316, 'mae_peak': np.float64(28.840529914931622)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(289.1193190664106), 'rmse': np.float64(17.00350902215218), 'r2': 0.9297696462816151, 'mae': np.float64(11.041294532978561), 'z_threshold': 1.5, 'mse_peak': np.float64(1379.8363644299072), 'rmse_peak': np.float64(37.146148715982754), 'r2_peak': 0.6350416810710484, 'mae_peak': np.float64(29.52661222960892)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(400.5508779349347), 'rmse': np.float64(20.013767209971608), 'r2': 0.9014461627302113, 'mae': np.float64(13.067560157596661), 'z_threshold': 1.5, 'mse_peak': np.float64(1917.3218390798934), 'rmse_peak': np.float64(43.78723374546391), 'r2_peak': 0.49627714175323157, 'mae_peak': np.float64(35.814650229349326)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(333.0941563809237), 'rmse': np.float64(18.250867277500095), 'r2': 0.9190876607633893, 'mae': np.float64(11.93428930621999), 'z_threshold': 1.5, 'mse_peak': np.float64(1454.7595395423255), 'rmse_peak': np.float64(38.1413101445444), 'r2_peak': 0.6152249573328354, 'mae_peak': np.float64(30.33545426979718)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(305.02481396349305), 'rmse': np.float64(17.46495960383227), 'r2': 0.9249499438533528, 'mae': np.float64(11.195656800884917), 'z_threshold': 1.5, 'mse_peak': np.float64(1575.975134811527), 'rmse_peak': np.float64(39.69855330879863), 'r2_peak': 0.5859564715467578, 'mae_peak': np.float64(31.93448028238061)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(366.7078127418656), 'rmse': np.float64(19.149616516835675), 'r2': 0.9094004883144647, 'mae': np.float64(12.750333435047272), 'z_threshold': 1.5, 'mse_peak': np.float64(1573.3295002668544), 'rmse_peak': np.float64(39.66521776401655), 'r2_peak': 0.5871921152335158, 'mae_peak': np.float64(31.78786016766133)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(331.77813252220045), 'rmse': np.float64(18.214777860907347), 'r2': 0.9180302798304181, 'mae': np.float64(11.886662402455315), 'z_threshold': 1.5, 'mse_peak': np.float64(1446.781600168446), 'rmse_peak': np.float64(38.0365823933808), 'r2_peak': 0.620395567499811, 'mae_peak': np.float64(30.747837111239807)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(351.44377210845767), 'rmse': np.float64(18.746833655539213), 'r2': 0.9131716504759548, 'mae': np.float64(12.36025158204333), 'z_threshold': 1.5, 'mse_peak': np.float64(1444.2064983183996), 'rmse_peak': np.float64(38.00271698600509), 'r2_peak': 0.6210712189431962, 'mae_peak': np.float64(29.863523328979852)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(329.63685852340774), 'rmse': np.float64(18.15590423315258), 'r2': 0.9188942551305118, 'mae': np.float64(13.05168574027133), 'z_threshold': 1.5, 'mse_peak': np.float64(1176.6662592390755), 'rmse_peak': np.float64(34.30256928043548), 'r2_peak': 0.6908637458639294, 'mae_peak': np.float64(28.31454893621065)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(352.4935068606165), 'rmse': np.float64(18.77481043474518), 'r2': 0.9132704741707208, 'mae': np.float64(11.945340474572166), 'z_threshold': 1.5, 'mse_peak': np.float64(1632.9834300315056), 'rmse_peak': np.float64(40.41018968071674), 'r2_peak': 0.5709791313701268, 'mae_peak': np.float64(32.56779286814661)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(321.87327170199063), 'rmse': np.float64(17.940826951453232), 'r2': 0.9218133406058133, 'mae': np.float64(12.612091272758606), 'z_threshold': 1.5, 'mse_peak': np.float64(1103.8142141924282), 'rmse_peak': np.float64(33.22369958617535), 'r2_peak': 0.7080478595822555, 'mae_peak': np.float64(26.578188007006563)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(340.86671176712565), 'rmse': np.float64(18.46257597864192), 'r2': 0.9161311975762484, 'mae': np.float64(11.8051383411972), 'z_threshold': 1.5, 'mse_peak': np.float64(1382.587652557073), 'rmse_peak': np.float64(37.18316356305731), 'r2_peak': 0.636763640862217, 'mae_peak': np.float64(30.330678972461474)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(295.1604217626871), 'rmse': np.float64(17.180233460657252), 'r2': 0.9270771192992826, 'mae': np.float64(11.408380634473566), 'z_threshold': 1.5, 'mse_peak': np.float64(1443.164279612218), 'rmse_peak': np.float64(37.98900208760712), 'r2_peak': 0.6213446747574359, 'mae_peak': np.float64(30.62361335974783)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(314.055195061829), 'rmse': np.float64(17.721602497004298), 'r2': 0.9224089415980451, 'mae': np.float64(12.121264735630783), 'z_threshold': 1.5, 'mse_peak': np.float64(1330.4352782203844), 'rmse_peak': np.float64(36.47513232629026), 'r2_peak': 0.6509223446660648, 'mae_peak': np.float64(29.317819487101254)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(343.81745007013853), 'rmse': np.float64(18.54231512163836), 'r2': 0.9150558237294839, 'mae': np.float64(13.323184403554425), 'z_threshold': 1.5, 'mse_peak': np.float64(1385.0147115144152), 'rmse_peak': np.float64(37.21578578391722), 'r2_peak': 0.6366018730763304, 'mae_peak': np.float64(28.68303056660171)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(427.43767997176747), 'rmse': np.float64(20.67456601652783), 'r2': 0.89483077962007, 'mae': np.float64(13.516127824975223), 'z_threshold': 1.5, 'mse_peak': np.float64(1805.5856176567622), 'rmse_peak': np.float64(42.492183018253634), 'r2_peak': 0.5256327187240564, 'mae_peak': np.float64(34.38295798920054)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(365.5486607592085), 'rmse': np.float64(19.119326890850747), 'r2': 0.9100583091656478, 'mae': np.float64(12.635711712438678), 'z_threshold': 1.5, 'mse_peak': np.float64(1340.693697694022), 'rmse_peak': np.float64(36.61548439791589), 'r2_peak': 0.6477701094981786, 'mae_peak': np.float64(29.127141503840598)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(299.8348390226154), 'rmse': np.float64(17.31573963256018), 'r2': 0.9262269150795664, 'mae': np.float64(11.430641798448894), 'z_threshold': 1.5, 'mse_peak': np.float64(1468.5670386921158), 'rmse_peak': np.float64(38.3218872015995), 'r2_peak': 0.6141749542622508, 'mae_peak': np.float64(31.18832081611602)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(296.46004668210225), 'rmse': np.float64(17.218015178356136), 'r2': 0.9279865004902336, 'mae': np.float64(11.191347869384845), 'z_threshold': 1.5, 'mse_peak': np.float64(1442.1513218162443), 'rmse_peak': np.float64(37.975667496651646), 'r2_peak': 0.6185597541715184, 'mae_peak': np.float64(31.259650172170307)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(323.07043846445987), 'rmse': np.float64(17.974160299286858), 'r2': 0.9215225352543771, 'mae': np.float64(11.599429762181998), 'z_threshold': 1.5, 'mse_peak': np.float64(1423.708458138954), 'rmse_peak': np.float64(37.73206140855485), 'r2_peak': 0.6234377793471201, 'mae_peak': np.float64(30.27955945893656)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(327.58795734932374), 'rmse': np.float64(18.099391076755143), 'r2': 0.9204251788057041, 'mae': np.float64(11.716479031289005), 'z_threshold': 1.5, 'mse_peak': np.float64(1620.128705881318), 'rmse_peak': np.float64(40.250822424906026), 'r2_peak': 0.5714858194860833, 'mae_peak': np.float64(31.738224390274866)}
