{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(1072.6195450922235), 'rmse': np.float64(32.750870905858726), 'r2': 0.7360865300198257}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(406.6360850417603), 'rmse': np.float64(20.165219687416258), 'r2': 0.8995357353773247}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(386.23167081275994), 'rmse': np.float64(19.65277768695204), 'r2': 0.9045768877638928}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(379.2131192628531), 'rmse': np.float64(19.473395165272365), 'r2': 0.9063109041144223}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(519.8063688772387), 'rmse': np.float64(22.79926246344909), 'r2': 0.8715756753607544}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(336.90590450382945), 'rmse': np.float64(18.354996717619684), 'r2': 0.9171057373313386}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(403.1971674636727), 'rmse': np.float64(20.079770104851118), 'r2': 0.9007950544641938}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(425.88775994286857), 'rmse': np.float64(20.63704823716), 'r2': 0.8965470445845651}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(508.6452733721244), 'rmse': np.float64(22.55316548451956), 'r2': 0.87644430824803}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(391.6497675238663), 'rmse': np.float64(19.790143191090515), 'r2': 0.9036362430303607}
