{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(365.2657938438772), 'rmse': np.float64(19.111928051451983), 'r2': 0.9097567561753053}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(433.28333128237193), 'rmse': np.float64(20.81545894959734), 'r2': 0.892952217346682}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(415.5049474627947), 'rmse': np.float64(20.383938467891692), 'r2': 0.8977667776234602}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(431.3545372676049), 'rmse': np.float64(20.76907646641046), 'r2': 0.8938670535672572}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(402.33478005850634), 'rmse': np.float64(20.058284574172994), 'r2': 0.9010072412116813}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(251.33714533291348), 'rmse': np.float64(15.853616159504856), 'r2': 0.9379041791737679}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(367.4699712517672), 'rmse': np.float64(19.169506286072348), 'r2': 0.9092121880208119}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(415.3249169056981), 'rmse': np.float64(20.379521998950274), 'r2': 0.897811073375149}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(271.6204235096683), 'rmse': np.float64(16.480910882280394), 'r2': 0.9331689518302059}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(396.4924486144479), 'rmse': np.float64(19.912118134805446), 'r2': 0.9024447219766278}
