{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(244.46603256556972), 'rmse': np.float64(15.635409574602441), 'r2': 0.9396017690254894, 'mae': np.float64(10.519754677225748), 'z_threshold': 1.5, 'mse_peak': np.float64(1004.6315130687406), 'rmse_peak': np.float64(31.695922656845635), 'r2_peak': 0.7364062583144102, 'mae_peak': np.float64(25.532922870763333)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(435.56445400906654), 'rmse': np.float64(20.870180976912167), 'r2': 0.8923886389391534, 'mae': np.float64(13.754218254934129), 'z_threshold': 1.5, 'mse_peak': np.float64(1750.7155797719845), 'rmse_peak': np.float64(41.8415532667226), 'r2_peak': 0.540649816080597, 'mae_peak': np.float64(33.62345761635403)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(489.5265556859564), 'rmse': np.float64(22.1252470197726), 'r2': 0.8790566621129797, 'mae': np.float64(13.624993494559334), 'z_threshold': 1.5, 'mse_peak': np.float64(2166.8260910992103), 'rmse_peak': np.float64(46.549179274174215), 'r2_peak': 0.43147135093330435, 'mae_peak': np.float64(39.258006661853784)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(364.68988294685323), 'rmse': np.float64(19.09685531564957), 'r2': 0.909899041788624, 'mae': np.float64(11.860619870419134), 'z_threshold': 1.5, 'mse_peak': np.float64(1433.1651342400905), 'rmse_peak': np.float64(37.85716754116835), 'r2_peak': 0.623968235842282, 'mae_peak': np.float64(28.863085257659158)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(440.7907298179562), 'rmse': np.float64(20.995016785369717), 'r2': 0.8915453185860526, 'mae': np.float64(14.034869167471603), 'z_threshold': 1.5, 'mse_peak': np.float64(2014.4955293513829), 'rmse_peak': np.float64(44.88313190221225), 'r2_peak': 0.4707474638388388, 'mae_peak': np.float64(36.85054916785861)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(354.81771222168385), 'rmse': np.float64(18.83660564490545), 'r2': 0.9126986133421611, 'mae': np.float64(13.446046283418633), 'z_threshold': 1.5, 'mse_peak': np.float64(1359.2157862425838), 'rmse_peak': np.float64(36.86754380539316), 'r2_peak': 0.6429039471282456, 'mae_peak': np.float64(29.018390634155114)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(474.93793049403143), 'rmse': np.float64(21.7930706990555), 'r2': 0.882660954884026, 'mae': np.float64(13.596448078010027), 'z_threshold': 1.5, 'mse_peak': np.float64(2443.0289389819723), 'rmse_peak': np.float64(49.42700617053366), 'r2_peak': 0.35900165314805155, 'mae_peak': np.float64(40.8409052475075)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(384.1908506863229), 'rmse': np.float64(19.60078699150427), 'r2': 0.9050810965657471, 'mae': np.float64(12.408947850065132), 'z_threshold': 1.5, 'mse_peak': np.float64(1699.0445182434394), 'rmse_peak': np.float64(41.219467709365674), 'r2_peak': 0.554207193355745, 'mae_peak': np.float64(33.75247924943833)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(346.11820945940275), 'rmse': np.float64(18.604252456344565), 'r2': 0.9144873938517164, 'mae': np.float64(11.743439544332412), 'z_threshold': 1.5, 'mse_peak': np.float64(1401.0732327541816), 'rmse_peak': np.float64(37.43091279616598), 'r2_peak': 0.6323884618459803, 'mae_peak': np.float64(29.39386346418192)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(400.15449325604055), 'rmse': np.float64(20.00386195853292), 'r2': 0.901543691491954, 'mae': np.float64(13.094624318146513), 'z_threshold': 1.5, 'mse_peak': np.float64(1626.3986839697397), 'rmse_peak': np.float64(40.32863354949855), 'r2_peak': 0.5727090898150029, 'mae_peak': np.float64(32.514854399805586)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(337.21436043337616), 'rmse': np.float64(18.363397300972828), 'r2': 0.9170298430638184, 'mae': np.float64(11.70421189522017), 'z_threshold': 1.5, 'mse_peak': np.float64(1710.829260912472), 'rmse_peak': np.float64(41.362171859229925), 'r2_peak': 0.550527309649485, 'mae_peak': np.float64(33.28426448061299)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(326.8544118507989), 'rmse': np.float64(18.07911535033722), 'r2': 0.9192467433826113, 'mae': np.float64(13.165078753957026), 'z_threshold': 1.5, 'mse_peak': np.float64(1389.3020699107988), 'rmse_peak': np.float64(37.27334261789247), 'r2_peak': 0.6354769622737638, 'mae_peak': np.float64(30.101804132793365)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(339.1221237202002), 'rmse': np.float64(18.415268765896418), 'r2': 0.9162158597574266, 'mae': np.float64(11.737994557584738), 'z_threshold': 1.5, 'mse_peak': np.float64(1644.7788895489393), 'rmse_peak': np.float64(40.55587367507867), 'r2_peak': 0.5684453293552927, 'mae_peak': np.float64(33.14165813999043)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(400.35622454571836), 'rmse': np.float64(20.008903631776487), 'r2': 0.9014940563674534, 'mae': np.float64(13.060737320424911), 'z_threshold': 1.5, 'mse_peak': np.float64(2255.32909476978), 'rmse_peak': np.float64(47.49030527138966), 'r2_peak': 0.40747515896980735, 'mae_peak': np.float64(39.433543402632594)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(541.5988433246374), 'rmse': np.float64(23.27227628154662), 'r2': 0.8667419116749693, 'mae': np.float64(14.517061335096571), 'z_threshold': 1.5, 'mse_peak': np.float64(3271.053893008702), 'rmse_peak': np.float64(57.19312802259291), 'r2_peak': 0.1406217866603542, 'mae_peak': np.float64(48.52822055940021)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(393.1419791604392), 'rmse': np.float64(19.82780822885977), 'r2': 0.9032690907136286, 'mae': np.float64(13.736072979565279), 'z_threshold': 1.5, 'mse_peak': np.float64(1430.2745134178888), 'rmse_peak': np.float64(37.81897028500232), 'r2_peak': 0.6242352476816784, 'mae_peak': np.float64(30.319892457875103)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(337.2773879295439), 'rmse': np.float64(18.365113338325575), 'r2': 0.9166716235999601, 'mae': np.float64(11.923616946295946), 'z_threshold': 1.5, 'mse_peak': np.float64(1570.9715244660858), 'rmse_peak': np.float64(39.6354831491441), 'r2_peak': 0.5878107974628142, 'mae_peak': np.float64(32.498486253774566)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(369.99309943288097), 'rmse': np.float64(19.23520468913396), 'r2': 0.9085888192973051, 'mae': np.float64(13.124450380666843), 'z_threshold': 1.5, 'mse_peak': np.float64(1615.6925410756387), 'rmse_peak': np.float64(40.19567813926814), 'r2_peak': 0.5760769627714382, 'mae_peak': np.float64(31.710486499841053)}
