{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(384.3170995593279), 'rmse': np.float64(19.604007232179036), 'r2': 0.9054404147477122}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(432.9612204777427), 'rmse': np.float64(20.807720213366544), 'r2': 0.8930317986389098}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(397.4454376010924), 'rmse': np.float64(19.936033647671554), 'r2': 0.9018063937632821}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(448.95603363769663), 'rmse': np.float64(21.18858262455742), 'r2': 0.8895362803633482}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(351.26964768380896), 'rmse': np.float64(18.742188977913145), 'r2': 0.9135715995078417}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(403.8024213711965), 'rmse': np.float64(20.094835689081822), 'r2': 0.9006461343184772}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(316.98333102046007), 'rmse': np.float64(17.80402569702875), 'r2': 0.9216855109025895}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(462.66954336675866), 'rmse': np.float64(21.509754609636037), 'r2': 0.8876123332391103}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(380.1225421970461), 'rmse': np.float64(19.496731577293822), 'r2': 0.9064724677189411}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(394.1406464246993), 'rmse': np.float64(19.852975757419827), 'r2': 0.9026228815947389}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(388.93175899293965), 'rmse': np.float64(19.721352869236423), 'r2': 0.9055240753382046}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(294.4294532596167), 'rmse': np.float64(17.158946740975004), 'r2': 0.9275568872209671}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(318.58172113515434), 'rmse': np.float64(17.848857698327766), 'r2': 0.9216143245927839}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(476.07487946730095), 'rmse': np.float64(21.819140209167294), 'r2': 0.8828638038664437}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(314.36843418405107), 'rmse': np.float64(17.73043807084447), 'r2': 0.9226509858995591}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(407.15608059066597), 'rmse': np.float64(20.178108944860664), 'r2': 0.899407264313517}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(324.7361912244009), 'rmse': np.float64(18.02043815295291), 'r2': 0.9201000434438211}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(270.53605761649766), 'rmse': np.float64(16.447980350684325), 'r2': 0.9334357554390942}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(380.4590127958083), 'rmse': np.float64(19.50535856619427), 'r2': 0.9060030913496657}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(338.5306333088469), 'rmse': np.float64(18.39920197478268), 'r2': 0.9163619944744227}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(378.59119557673745), 'rmse': np.float64(19.457420064765458), 'r2': 0.9064645577326707}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(365.767155331458), 'rmse': np.float64(19.12504000862372), 'r2': 0.9111510196536011}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(410.06252019192806), 'rmse': np.float64(20.25000049856612), 'r2': 0.8991058636700843}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(296.9357811958869), 'rmse': np.float64(17.23182466240551), 'r2': 0.9278709391943402}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(348.1232415345062), 'rmse': np.float64(18.65806103362582), 'r2': 0.9139920269121359}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(363.07375287315267), 'rmse': np.float64(19.054494295917504), 'r2': 0.9118052775840761}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(378.4892547448439), 'rmse': np.float64(19.45480030082149), 'r2': 0.9064897434234835}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(491.9976734961611), 'rmse': np.float64(22.181020569310174), 'r2': 0.8784461431680791}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(305.38823029555516), 'rmse': np.float64(17.475360662817668), 'r2': 0.9248605268129112}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(333.46173756201057), 'rmse': np.float64(18.26093473954744), 'r2': 0.918998371135663}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(500.6559166757864), 'rmse': np.float64(22.37534171081609), 'r2': 0.8768157443703384}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(373.32031273717604), 'rmse': np.float64(19.321498718711652), 'r2': 0.9081461273017537}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(325.6721013433436), 'rmse': np.float64(18.046387487343377), 'r2': 0.9198697667457971}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(430.4780259484199), 'rmse': np.float64(20.74796438083553), 'r2': 0.8940827154436246}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(388.42724676147617), 'rmse': np.float64(19.708557703735607), 'r2': 0.9040344447018405}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(333.557222442591), 'rmse': np.float64(18.263549010052536), 'r2': 0.9179296662879621}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(350.6059597151543), 'rmse': np.float64(18.724474884897422), 'r2': 0.9148338456036791}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(374.4921596759945), 'rmse': np.float64(19.3517999079154), 'r2': 0.9074772731373741}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(393.6222509363837), 'rmse': np.float64(19.839915598015626), 'r2': 0.9043847017765726}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(372.0964126492229), 'rmse': np.float64(19.28980074156348), 'r2': 0.9080691708368659}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(348.6355861549082), 'rmse': np.float64(18.67178583196873), 'r2': 0.9142196991265874}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(351.62958124982623), 'rmse': np.float64(18.751788748005513), 'r2': 0.9134830393871497}
