{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(345.72373881846386), 'rmse': np.float64(18.59364780828291), 'r2': 0.9149361467599816}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(392.2377260063721), 'rmse': np.float64(19.804992451560594), 'r2': 0.9030930206391945}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(430.5269153404811), 'rmse': np.float64(20.749142520607474), 'r2': 0.8940706864169644}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(348.1922532450333), 'rmse': np.float64(18.6599103225346), 'r2': 0.9139749767510619}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(312.34451080390807), 'rmse': np.float64(17.67327108386866), 'r2': 0.9228315864205182}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(336.7094768325866), 'rmse': np.float64(18.34964514187091), 'r2': 0.9171540675231153}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(334.5601899840134), 'rmse': np.float64(18.290986577656586), 'r2': 0.917342939559054}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(319.0894805438297), 'rmse': np.float64(17.86307589817134), 'r2': 0.9211651616988809}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(479.8058926088268), 'rmse': np.float64(21.904471977402853), 'r2': 0.8819458039761499}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(343.9898117552881), 'rmse': np.float64(18.54696233228741), 'r2': 0.9153627721277823}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(389.58285205448055), 'rmse': np.float64(19.7378532787758), 'r2': 0.9041447987770624}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(365.4698038821189), 'rmse': np.float64(19.117264550194385), 'r2': 0.909706353077249}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(329.88227621870084), 'rmse': np.float64(18.162661595115978), 'r2': 0.9188338711520027}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(311.4828450277294), 'rmse': np.float64(17.648876593928843), 'r2': 0.9230444711637534}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(406.498023878448), 'rmse': np.float64(20.16179614713054), 'r2': 0.8995698450241448}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(287.29257072984626), 'rmse': np.float64(16.94970709864469), 'r2': 0.929020965153725}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(369.2948518197759), 'rmse': np.float64(19.217045866099603), 'r2': 0.9091365748130279}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(380.4372133236789), 'rmse': np.float64(19.50479975092487), 'r2': 0.906395044228653}
