{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(326.8635155713547), 'rmse': np.float64(18.07936712308688), 'r2': 0.9195766243501203, 'mae': np.float64(12.048652774914391), 'z_threshold': 1.5, 'mse_peak': np.float64(1469.6340008186744), 'rmse_peak': np.float64(38.33580572804848), 'r2_peak': 0.6138946397104232, 'mae_peak': np.float64(29.98905162959678)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(394.12028365069324), 'rmse': np.float64(19.85246291145492), 'r2': 0.9026279124594149, 'mae': np.float64(12.911539513520985), 'z_threshold': 1.5, 'mse_peak': np.float64(2134.0262961714343), 'rmse_peak': np.float64(46.19552246886525), 'r2_peak': 0.4400773129791524, 'mae_peak': np.float64(37.90748900781356)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(377.25535204952024), 'rmse': np.float64(19.42306237567908), 'r2': 0.9067945937096772, 'mae': np.float64(14.313173717819343), 'z_threshold': 1.5, 'mse_peak': np.float64(1243.476545201581), 'rmse_peak': np.float64(35.262962796701885), 'r2_peak': 0.673738449387534, 'mae_peak': np.float64(28.379283180573307)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(334.0427589611213), 'rmse': np.float64(18.276836678186992), 'r2': 0.9178102020958413, 'mae': np.float64(11.856558852287806), 'z_threshold': 1.5, 'mse_peak': np.float64(1383.7597173564575), 'rmse_peak': np.float64(37.19892091655963), 'r2_peak': 0.6364557135133688, 'mae_peak': np.float64(29.60685871434058)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(391.1127324478703), 'rmse': np.float64(19.776570290317537), 'r2': 0.903768378223175, 'mae': np.float64(13.116311743482141), 'z_threshold': 1.5, 'mse_peak': np.float64(1859.5441576793505), 'rmse_peak': np.float64(43.12243218650069), 'r2_peak': 0.5114566166983034, 'mae_peak': np.float64(34.93918398813143)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(292.2045209690734), 'rmse': np.float64(17.0939907853337), 'r2': 0.9278074096263141, 'mae': np.float64(11.777334662227664), 'z_threshold': 1.5, 'mse_peak': np.float64(1285.697639616202), 'rmse_peak': np.float64(35.856626160532755), 'r2_peak': 0.6626605406119919, 'mae_peak': np.float64(29.18155742285343)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(350.08449180562513), 'rmse': np.float64(18.710544936094863), 'r2': 0.9135074767861706, 'mae': np.float64(12.316719162065368), 'z_threshold': 1.5, 'mse_peak': np.float64(1473.6617692620425), 'rmse_peak': np.float64(38.38830250560765), 'r2_peak': 0.6133427881908289, 'mae_peak': np.float64(30.558042997689835)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(413.2622627793013), 'rmse': np.float64(20.32885296270553), 'r2': 0.8983185806365606, 'mae': np.float64(14.304180732754913), 'z_threshold': 1.5, 'mse_peak': np.float64(1241.0434860620821), 'rmse_peak': np.float64(35.22844711397427), 'r2_peak': 0.6739504243545643, 'mae_peak': np.float64(28.46563987003687)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(439.05320084372414), 'rmse': np.float64(20.953596370163385), 'r2': 0.8919728301887255, 'mae': np.float64(13.997580205196865), 'z_threshold': 1.5, 'mse_peak': np.float64(2146.013868611057), 'rmse_peak': np.float64(46.325088975748955), 'r2_peak': 0.4361946869323057, 'mae_peak': np.float64(38.28279970302953)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(357.50980670148914), 'rmse': np.float64(18.90792973071058), 'r2': 0.9120362349630511, 'mae': np.float64(12.503792850666537), 'z_threshold': 1.5, 'mse_peak': np.float64(1690.3724786872178), 'rmse_peak': np.float64(41.114139644253996), 'r2_peak': 0.5559017588436703, 'mae_peak': np.float64(33.52596339869423)}
