{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(429.1100566176563), 'rmse': np.float64(20.71497179862083), 'r2': 0.8944192984702533, 'mae': np.float64(14.582353370923862), 'z_threshold': 1.5, 'mse_peak': np.float64(1378.3798889826144), 'rmse_peak': np.float64(37.126538876962584), 'r2_peak': 0.6378691134288728, 'mae_peak': np.float64(29.656829179940186)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(400.7699319545038), 'rmse': np.float64(20.019239045340953), 'r2': 0.9013922654218114, 'mae': np.float64(13.103956725383588), 'z_threshold': 1.5, 'mse_peak': np.float64(1776.421379168728), 'rmse_peak': np.float64(42.14761415749091), 'r2_peak': 0.5332948092872313, 'mae_peak': np.float64(33.647445272538874)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(394.0471652101837), 'rmse': np.float64(19.850621280206415), 'r2': 0.903046373541954, 'mae': np.float64(13.691616158261652), 'z_threshold': 1.5, 'mse_peak': np.float64(1783.9902362257408), 'rmse_peak': np.float64(42.23730858169991), 'r2_peak': 0.5313063031153883, 'mae_peak': np.float64(33.64397578072909)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(454.4290129589516), 'rmse': np.float64(21.317340663388375), 'r2': 0.8877279260510272, 'mae': np.float64(15.490308549999574), 'z_threshold': 1.5, 'mse_peak': np.float64(1597.7919379017048), 'rmse_peak': np.float64(39.9723896946593), 'r2_peak': 0.580773696755656, 'mae_peak': np.float64(31.796753662878675)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(379.5649997461478), 'rmse': np.float64(19.48242797359066), 'r2': 0.9066096486639939, 'mae': np.float64(13.18879361700363), 'z_threshold': 1.5, 'mse_peak': np.float64(1541.0731659425264), 'rmse_peak': np.float64(39.25650475962584), 'r2_peak': 0.5951259907994929, 'mae_peak': np.float64(31.733808888696338)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(398.07711463356594), 'rmse': np.float64(19.951869953304275), 'r2': 0.902054821652903, 'mae': np.float64(13.61425067429768), 'z_threshold': 1.5, 'mse_peak': np.float64(1594.1562657359177), 'rmse_peak': np.float64(39.92688650190392), 'r2_peak': 0.5811798862866703, 'mae_peak': np.float64(32.5044572922086)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(421.55236486926435), 'rmse': np.float64(20.531740424748808), 'r2': 0.8962788363310772, 'mae': np.float64(13.783033346302421), 'z_threshold': 1.5, 'mse_peak': np.float64(1526.6189462461352), 'rmse_peak': np.float64(39.07197136370438), 'r2_peak': 0.5989234340407835, 'mae_peak': np.float64(31.245843606241152)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(500.30657010582377), 'rmse': np.float64(22.367533840498012), 'r2': 0.8769016996057492, 'mae': np.float64(15.873160161624051), 'z_threshold': 1.5, 'mse_peak': np.float64(1221.6851505626892), 'rmse_peak': np.float64(34.952612928974126), 'r2_peak': 0.6790362872962463, 'mae_peak': np.float64(28.55156832888727)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(315.3746967692344), 'rmse': np.float64(17.758792097697253), 'r2': 0.922082943061321, 'mae': np.float64(11.20059009012596), 'z_threshold': 1.5, 'mse_peak': np.float64(1372.7310445837618), 'rmse_peak': np.float64(37.050385215052245), 'r2_peak': 0.6398248435742198, 'mae_peak': np.float64(30.427896682956963)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(413.3360012224031), 'rmse': np.float64(20.33066652184338), 'r2': 0.897880441671522, 'mae': np.float64(13.201766281513715), 'z_threshold': 1.5, 'mse_peak': np.float64(1303.7771866965152), 'rmse_peak': np.float64(36.107854916853135), 'r2_peak': 0.6579168555882926, 'mae_peak': np.float64(29.760348047293544)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(335.99363721691094), 'rmse': np.float64(18.33012921986397), 'r2': 0.9169887894296731, 'mae': np.float64(11.930659934610139), 'z_threshold': 1.5, 'mse_peak': np.float64(1386.3202080767815), 'rmse_peak': np.float64(37.233321206639374), 'r2_peak': 0.6362593388046545, 'mae_peak': np.float64(29.996351753939418)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(445.30830361218716), 'rmse': np.float64(21.10232934090896), 'r2': 0.8904337887977114, 'mae': np.float64(13.506354133156963), 'z_threshold': 1.5, 'mse_peak': np.float64(1968.1636455112769), 'rmse_peak': np.float64(44.36399041465135), 'r2_peak': 0.48291987458397245, 'mae_peak': np.float64(35.656861045749665)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(301.44215515359974), 'rmse': np.float64(17.362089596405145), 'r2': 0.9255251426083577, 'mae': np.float64(11.427691867944157), 'z_threshold': 1.5, 'mse_peak': np.float64(1114.817582931795), 'rmse_peak': np.float64(33.38888412229128), 'r2_peak': 0.7074957990474959, 'mae_peak': np.float64(26.656575366513632)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(342.782984866164), 'rmse': np.float64(18.514399392531317), 'r2': 0.9153114006195289, 'mae': np.float64(13.950771614185234), 'z_threshold': 1.5, 'mse_peak': np.float64(1040.3815413645984), 'rmse_peak': np.float64(32.25494599847593), 'r2_peak': 0.7270262183681359, 'mae_peak': np.float64(26.819740828802946)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(315.8975883061453), 'rmse': np.float64(17.773508047263636), 'r2': 0.9219537565093509, 'mae': np.float64(11.030982563915279), 'z_threshold': 1.5, 'mse_peak': np.float64(1682.9403956127821), 'rmse_peak': np.float64(41.02365653635451), 'r2_peak': 0.5584325694120982, 'mae_peak': np.float64(32.76820741319826)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(431.3050756951881), 'rmse': np.float64(20.76788568186921), 'r2': 0.8938792233764564, 'mae': np.float64(12.789376867450681), 'z_threshold': 1.5, 'mse_peak': np.float64(2644.1260027894323), 'rmse_peak': np.float64(51.4210657492572), 'r2_peak': 0.3053296110532666, 'mae_peak': np.float64(41.91728980208228)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(340.10292333453754), 'rmse': np.float64(18.441879604165557), 'r2': 0.9159735415873939, 'mae': np.float64(12.110636128494805), 'z_threshold': 1.5, 'mse_peak': np.float64(1933.5069601956116), 'rmse_peak': np.float64(43.9716608760189), 'r2_peak': 0.49268928200720385, 'mae_peak': np.float64(36.03578334866951)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(342.9039458809626), 'rmse': np.float64(18.517665778411775), 'r2': 0.9156299448006443, 'mae': np.float64(12.02589435793807), 'z_threshold': 1.5, 'mse_peak': np.float64(1582.1630227120784), 'rmse_peak': np.float64(39.77641289397623), 'r2_peak': 0.5843307765193271, 'mae_peak': np.float64(32.3240984682857)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(474.9846998343546), 'rmse': np.float64(21.79414370500375), 'r2': 0.8831320379212388, 'mae': np.float64(12.777766125280523), 'z_threshold': 1.5, 'mse_peak': np.float64(2677.895073803069), 'rmse_peak': np.float64(51.74838233030158), 'r2_peak': 0.29645772912681334, 'mae_peak': np.float64(41.5135465298994)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(422.73222106127963), 'rmse': np.float64(20.560452841833996), 'r2': 0.89555899418796, 'mae': np.float64(13.534527517966382), 'z_threshold': 1.5, 'mse_peak': np.float64(1729.7155128428296), 'rmse_peak': np.float64(41.5898486754019), 'r2_peak': 0.5461597828151614, 'mae_peak': np.float64(33.770481353029986)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(376.38703885244416), 'rmse': np.float64(19.40069686512431), 'r2': 0.9073915724045747, 'mae': np.float64(14.085768450558595), 'z_threshold': 1.5, 'mse_peak': np.float64(1257.1048212274093), 'rmse_peak': np.float64(35.455674034312324), 'r2_peak': 0.6697307563302224, 'mae_peak': np.float64(28.505168347676175)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(347.8867617815211), 'rmse': np.float64(18.65172275639763), 'r2': 0.9144039441738556, 'mae': np.float64(11.515893546587241), 'z_threshold': 1.5, 'mse_peak': np.float64(2069.1593138069793), 'rmse_peak': np.float64(45.48801285841116), 'r2_peak': 0.4563860785005419, 'mae_peak': np.float64(36.44024149835339)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(388.9361249965079), 'rmse': np.float64(19.721463561219483), 'r2': 0.9039087203021977, 'mae': np.float64(12.090175244892517), 'z_threshold': 1.5, 'mse_peak': np.float64(1998.8762389725844), 'rmse_peak': np.float64(44.70879375439002), 'r2_peak': 0.4755377865982283, 'mae_peak': np.float64(37.34077406280639)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(313.95197832934), 'rmse': np.float64(17.718690085029987), 'r2': 0.9224344425152232, 'mae': np.float64(11.899733648011585), 'z_threshold': 1.5, 'mse_peak': np.float64(1347.3245013894793), 'rmse_peak': np.float64(36.705919160122924), 'r2_peak': 0.6464909750828969, 'mae_peak': np.float64(28.825235452580234)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(319.0720025805362), 'rmse': np.float64(17.862586671043367), 'r2': 0.9211694798368769, 'mae': np.float64(11.327582290748142), 'z_threshold': 1.5, 'mse_peak': np.float64(1538.7600904547542), 'rmse_peak': np.float64(39.22703264911525), 'r2_peak': 0.5962623862350692, 'mae_peak': np.float64(29.308429675067252)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(527.6762560536478), 'rmse': np.float64(22.97120493255954), 'r2': 0.8718214672367559, 'mae': np.float64(15.50534178221085), 'z_threshold': 1.5, 'mse_peak': np.float64(2001.5469658872753), 'rmse_peak': np.float64(44.73865181123896), 'r2_peak': 0.4706030115176961, 'mae_peak': np.float64(36.58117022195144)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(578.9816701514028), 'rmse': np.float64(24.06203794676176), 'r2': 0.8569557157825886, 'mae': np.float64(16.476803817178254), 'z_threshold': 1.5, 'mse_peak': np.float64(2871.8536139837374), 'rmse_peak': np.float64(53.589678241091704), 'r2_peak': 0.24648726439914115, 'mae_peak': np.float64(45.73079963474098)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(420.121066051899), 'rmse': np.float64(20.496855028318343), 'r2': 0.8962041109827626, 'mae': np.float64(13.93361308396695), 'z_threshold': 1.5, 'mse_peak': np.float64(1690.8177442369022), 'rmse_peak': np.float64(41.11955428062058), 'r2_peak': 0.5563657222433775, 'mae_peak': np.float64(32.96132646806246)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(268.71950201762655), 'rmse': np.float64(16.39266610462211), 'r2': 0.933609661923634, 'mae': np.float64(10.615583630572319), 'z_threshold': 1.5, 'mse_peak': np.float64(1205.3098025360243), 'rmse_peak': np.float64(34.71757195623024), 'r2_peak': 0.6837525833025995, 'mae_peak': np.float64(28.531842661372906)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(470.24470945759117), 'rmse': np.float64(21.685126457034812), 'r2': 0.8838204707693149, 'mae': np.float64(14.557625115647252), 'z_threshold': 1.5, 'mse_peak': np.float64(2323.620106123864), 'rmse_peak': np.float64(48.203942848317546), 'r2_peak': 0.39033196743137843, 'mae_peak': np.float64(36.748537582514714)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(382.8256471964807), 'rmse': np.float64(19.56593077766761), 'r2': 0.9054183862695205, 'mae': np.float64(12.850194891285899), 'z_threshold': 1.5, 'mse_peak': np.float64(1536.1509575530056), 'rmse_peak': np.float64(39.193761717306565), 'r2_peak': 0.5969469666958453, 'mae_peak': np.float64(30.299634622762945)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(414.17121760666396), 'rmse': np.float64(20.351196957591068), 'r2': 0.8980949361732071, 'mae': np.float64(12.966290452648732), 'z_threshold': 1.5, 'mse_peak': np.float64(2277.9664129126927), 'rmse_peak': np.float64(47.72804639740341), 'r2_peak': 0.40152783475664255, 'mae_peak': np.float64(38.99465678427716)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(481.12676700869304), 'rmse': np.float64(21.93460204810411), 'r2': 0.8811319294674755, 'mae': np.float64(13.936773421024565), 'z_threshold': 1.5, 'mse_peak': np.float64(2051.1033943342013), 'rmse_peak': np.float64(45.289109003536396), 'r2_peak': 0.4618345022394573, 'mae_peak': np.float64(35.336702708044115)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(438.16384760068536), 'rmse': np.float64(20.932363641038854), 'r2': 0.8917464279420156, 'mae': np.float64(13.35217412382844), 'z_threshold': 1.5, 'mse_peak': np.float64(2048.5575817191643), 'rmse_peak': np.float64(45.260994042543565), 'r2_peak': 0.46250246881635504, 'mae_peak': np.float64(36.41672709263194)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(342.8932336889662), 'rmse': np.float64(18.517376533649852), 'r2': 0.9152841623410883, 'mae': np.float64(11.36300609733813), 'z_threshold': 1.5, 'mse_peak': np.float64(1944.6490811087288), 'rmse_peak': np.float64(44.098175485032584), 'r2_peak': 0.48976582867770346, 'mae_peak': np.float64(35.75940934607966)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(388.31682808972624), 'rmse': np.float64(19.705756217149503), 'r2': 0.9044562985806462, 'mae': np.float64(12.339209544582555), 'z_threshold': 1.5, 'mse_peak': np.float64(1982.0023364845829), 'rmse_peak': np.float64(44.519684820139766), 'r2_peak': 0.47928414435371913, 'mae_peak': np.float64(37.16025506548172)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(484.54724749185465), 'rmse': np.float64(22.01243392930129), 'r2': 0.8802868592215288, 'mae': np.float64(13.922138868645188), 'z_threshold': 1.5, 'mse_peak': np.float64(2434.1254664060934), 'rmse_peak': np.float64(49.336857078720506), 'r2_peak': 0.361337733212972, 'mae_peak': np.float64(39.70002522576474)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(288.19561999465196), 'rmse': np.float64(16.97632527947824), 'r2': 0.9290906953412481, 'mae': np.float64(11.051216788956522), 'z_threshold': 1.5, 'mse_peak': np.float64(956.9877303370173), 'rmse_peak': np.float64(30.93521828494212), 'r2_peak': 0.7485781546911368, 'mae_peak': np.float64(25.391448131106436)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(312.0659574331538), 'rmse': np.float64(17.665388686161247), 'r2': 0.9229004063324258, 'mae': np.float64(11.09336678262109), 'z_threshold': 1.5, 'mse_peak': np.float64(1478.3478773413792), 'rmse_peak': np.float64(38.449289685784564), 'r2_peak': 0.6121132540317795, 'mae_peak': np.float64(30.008815948051947)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(390.7837170542407), 'rmse': np.float64(19.768250227428847), 'r2': 0.903452250785028, 'mae': np.float64(13.116661845492983), 'z_threshold': 1.5, 'mse_peak': np.float64(1535.4897001042934), 'rmse_peak': np.float64(39.18532506059243), 'r2_peak': 0.597120466454569, 'mae_peak': np.float64(31.27047905553864)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(444.0661066875621), 'rmse': np.float64(21.07287608959826), 'r2': 0.8921313184891324, 'mae': np.float64(12.952997555786236), 'z_threshold': 1.5, 'mse_peak': np.float64(2528.67236264434), 'rmse_peak': np.float64(50.285906202874976), 'r2_peak': 0.33118155284009554, 'mae_peak': np.float64(42.283605803194455)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(605.8055813569316), 'rmse': np.float64(24.613118074655468), 'r2': 0.8503285505783724, 'mae': np.float64(16.743592166202617), 'z_threshold': 1.5, 'mse_peak': np.float64(3692.103861074745), 'rmse_peak': np.float64(60.762684775071826), 'r2_peak': 0.031271208624814584, 'mae_peak': np.float64(48.059899636801575)}
