{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(281.1047074130071), 'rmse': np.float64(16.76617748364269), 'r2': 0.9305497501302182, 'mae': np.float64(11.170014039039192), 'z_threshold': 1.5, 'mse_peak': np.float64(1423.927585865438), 'rmse_peak': np.float64(37.73496503066404), 'r2_peak': 0.6263919702248901, 'mae_peak': np.float64(30.654255575206804)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(359.96376010747986), 'rmse': np.float64(18.972710931953817), 'r2': 0.9125607300135441, 'mae': np.float64(12.609646958224918), 'z_threshold': 1.5, 'mse_peak': np.float64(1652.8218479163306), 'rmse_peak': np.float64(40.654911731749344), 'r2_peak': 0.5628386824304272, 'mae_peak': np.float64(32.68929646899855)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(330.9268895916607), 'rmse': np.float64(18.191396031961393), 'r2': 0.9185768484813764, 'mae': np.float64(13.552977122297523), 'z_threshold': 1.5, 'mse_peak': np.float64(1324.937601815945), 'rmse_peak': np.float64(36.39969233133633), 'r2_peak': 0.651909584409873, 'mae_peak': np.float64(29.506044746614876)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(377.53698638861385), 'rmse': np.float64(19.43031102140709), 'r2': 0.906725012608023, 'mae': np.float64(13.016871580118215), 'z_threshold': 1.5, 'mse_peak': np.float64(2052.084656817539), 'rmse_peak': np.float64(45.29994102443776), 'r2_peak': 0.46157704002948896, 'mae_peak': np.float64(38.45508550799368)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(347.0129181250078), 'rmse': np.float64(18.628282747612776), 'r2': 0.9157066360578614, 'mae': np.float64(11.852419483389216), 'z_threshold': 1.5, 'mse_peak': np.float64(1663.6209548101294), 'rmse_peak': np.float64(40.78750978927409), 'r2_peak': 0.5599823843943024, 'mae_peak': np.float64(31.8372134201182)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(406.224252488975), 'rmse': np.float64(20.155005643486557), 'r2': 0.9013235330194795, 'mae': np.float64(12.274742838365237), 'z_threshold': 1.5, 'mse_peak': np.float64(2648.74354372897), 'rmse_peak': np.float64(51.465945475906395), 'r2_peak': 0.2994234563511937, 'mae_peak': np.float64(42.20610364688664)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(361.48264148667846), 'rmse': np.float64(19.012696849386685), 'r2': 0.9110587358874332, 'mae': np.float64(13.126510553595088), 'z_threshold': 1.5, 'mse_peak': np.float64(1747.8801668925694), 'rmse_peak': np.float64(41.80765679744046), 'r2_peak': 0.540793217083219, 'mae_peak': np.float64(33.63867268248203)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(442.09817099089776), 'rmse': np.float64(21.026130670927017), 'r2': 0.8912236282548213, 'mae': np.float64(13.071014920991447), 'z_threshold': 1.5, 'mse_peak': np.float64(2594.5764418321205), 'rmse_peak': np.float64(50.936985009245696), 'r2_peak': 0.31834737675204317, 'mae_peak': np.float64(42.20489712441496)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(325.6357588519242), 'rmse': np.float64(18.045380540512973), 'r2': 0.9195478260505442, 'mae': np.float64(11.92245545386682), 'z_threshold': 1.5, 'mse_peak': np.float64(1342.9149424698364), 'rmse_peak': np.float64(36.64580388625465), 'r2_peak': 0.6476479486793763, 'mae_peak': np.float64(28.72409448380102)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(324.2853040568207), 'rmse': np.float64(18.007923368806875), 'r2': 0.9212274306569144, 'mae': np.float64(12.87980536689827), 'z_threshold': 1.5, 'mse_peak': np.float64(1527.3898809612672), 'rmse_peak': np.float64(39.081835690781816), 'r2_peak': 0.5960146741494056, 'mae_peak': np.float64(31.07722384695739)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(313.84255012180705), 'rmse': np.float64(17.715601884265944), 'r2': 0.9224614780509348, 'mae': np.float64(11.603834765339498), 'z_threshold': 1.5, 'mse_peak': np.float64(1473.8645167853292), 'rmse_peak': np.float64(38.390943160924415), 'r2_peak': 0.613289591593285, 'mae_peak': np.float64(30.319620112479285)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(462.42620913402266), 'rmse': np.float64(21.50409749638479), 'r2': 0.8862220010620404, 'mae': np.float64(12.83212569526454), 'z_threshold': 1.5, 'mse_peak': np.float64(2746.5835512650447), 'rmse_peak': np.float64(52.40785772443904), 'r2_peak': 0.2784117467098137, 'mae_peak': np.float64(42.01268108543772)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(306.4692239419314), 'rmse': np.float64(17.506262420686244), 'r2': 0.9242831456789031, 'mae': np.float64(11.407212297309336), 'z_threshold': 1.5, 'mse_peak': np.float64(1412.0918489211867), 'rmse_peak': np.float64(37.577810592438546), 'r2_peak': 0.6294974135104703, 'mae_peak': np.float64(30.195789340014173)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(370.1714366505799), 'rmse': np.float64(19.239839829130073), 'r2': 0.910081169890825, 'mae': np.float64(13.230955561603729), 'z_threshold': 1.5, 'mse_peak': np.float64(1247.964697508708), 'rmse_peak': np.float64(35.32654380927616), 'r2_peak': 0.6699209342307547, 'mae_peak': np.float64(28.359569868375377)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(358.7437365822151), 'rmse': np.float64(18.9405315812998), 'r2': 0.9117326317721297, 'mae': np.float64(12.505715942063741), 'z_threshold': 1.5, 'mse_peak': np.float64(1436.7417299266772), 'rmse_peak': np.float64(37.90437613161147), 'r2_peak': 0.6225361668501208, 'mae_peak': np.float64(30.34240280173907)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(369.78128192959), 'rmse': np.float64(19.22969791571334), 'r2': 0.9090168907565782, 'mae': np.float64(12.511547644912863), 'z_threshold': 1.5, 'mse_peak': np.float64(1719.2183885231316), 'rmse_peak': np.float64(41.463458472770114), 'r2_peak': 0.5483233002588309, 'mae_peak': np.float64(33.87019381238696)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(345.95312967354135), 'rmse': np.float64(18.59981531288796), 'r2': 0.9159640706632468, 'mae': np.float64(12.43036915123022), 'z_threshold': 1.5, 'mse_peak': np.float64(1477.5985574259146), 'rmse_peak': np.float64(38.439544188581564), 'r2_peak': 0.6091841761303289, 'mae_peak': np.float64(31.513383941904543)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(375.91051037577216), 'rmse': np.float64(19.388411754854292), 'r2': 0.9071268527854381, 'mae': np.float64(12.558769375952853), 'z_threshold': 1.5, 'mse_peak': np.float64(1917.4304199250582), 'rmse_peak': np.float64(43.78847359665621), 'r2_peak': 0.49690742104440155, 'mae_peak': np.float64(35.85484953398124)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(355.49128182016614), 'rmse': np.float64(18.854476439831632), 'r2': 0.9121716652269867, 'mae': np.float64(12.34323209294376), 'z_threshold': 1.5, 'mse_peak': np.float64(1944.8778250125117), 'rmse_peak': np.float64(44.10076898436706), 'r2_peak': 0.4897058111880055, 'mae_peak': np.float64(36.313311324822855)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(311.1319090067269), 'rmse': np.float64(17.638931628835316), 'r2': 0.9231311740673485, 'mae': np.float64(11.844217615412848), 'z_threshold': 1.5, 'mse_peak': np.float64(1371.338377598934), 'rmse_peak': np.float64(37.03158621499941), 'r2_peak': 0.6401902494933827, 'mae_peak': np.float64(29.96845930247251)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(350.62577630333504), 'rmse': np.float64(18.72500404014202), 'r2': 0.9148290319302036, 'mae': np.float64(12.374234233766167), 'z_threshold': 1.5, 'mse_peak': np.float64(1975.9213615932015), 'rmse_peak': np.float64(44.451337005687485), 'r2_peak': 0.47738082786301883, 'mae_peak': np.float64(36.90331169405074)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(406.7629214447901), 'rmse': np.float64(20.168364372075146), 'r2': 0.9011926842355721, 'mae': np.float64(13.097144958811585), 'z_threshold': 1.5, 'mse_peak': np.float64(1898.9766278696084), 'rmse_peak': np.float64(43.5772489708748), 'r2_peak': 0.49773224154807594, 'mae_peak': np.float64(34.24441561357236)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(331.3255705588465), 'rmse': np.float64(18.202350687722905), 'r2': 0.9184787547276811, 'mae': np.float64(12.675816587311019), 'z_threshold': 1.5, 'mse_peak': np.float64(1400.236062778553), 'rmse_peak': np.float64(37.41972825634298), 'r2_peak': 0.6321270131145553, 'mae_peak': np.float64(30.17466644835886)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(384.254628074553), 'rmse': np.float64(19.60241383285622), 'r2': 0.9066602033556825, 'mae': np.float64(13.175655674605007), 'z_threshold': 1.5, 'mse_peak': np.float64(1636.6065165710152), 'rmse_peak': np.float64(40.45499371611637), 'r2_peak': 0.5671275388638546, 'mae_peak': np.float64(32.49172638366415)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(365.06712005880644), 'rmse': np.float64(19.106729706017365), 'r2': 0.9101767902037393, 'mae': np.float64(12.259571617980868), 'z_threshold': 1.5, 'mse_peak': np.float64(2252.945750976097), 'rmse_peak': np.float64(47.46520568770451), 'r2_peak': 0.40810131610392464, 'mae_peak': np.float64(37.19035011964713)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(307.9167850982079), 'rmse': np.float64(17.547557810083088), 'r2': 0.9242383866747266, 'mae': np.float64(11.681307990995027), 'z_threshold': 1.5, 'mse_peak': np.float64(1604.1117825926663), 'rmse_peak': np.float64(40.051364303762064), 'r2_peak': 0.57856435179257, 'mae_peak': np.float64(31.941261676562696)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(372.11479620608196), 'rmse': np.float64(19.290277245443672), 'r2': 0.9096091058674811, 'mae': np.float64(12.767139145387189), 'z_threshold': 1.5, 'mse_peak': np.float64(1476.0251799900843), 'rmse_peak': np.float64(38.41907312768079), 'r2_peak': 0.609600324884503, 'mae_peak': np.float64(31.255042945021376)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(408.5461505429846), 'rmse': np.float64(20.212524595977232), 'r2': 0.8990638310554494, 'mae': np.float64(13.495689640822922), 'z_threshold': 1.5, 'mse_peak': np.float64(2000.0084731223733), 'rmse_peak': np.float64(44.7214542822835), 'r2_peak': 0.4752407126640299, 'mae_peak': np.float64(35.21950865289395)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(357.7065257167058), 'rmse': np.float64(18.913131039484334), 'r2': 0.9116243629653026, 'mae': np.float64(13.552376495315675), 'z_threshold': 1.5, 'mse_peak': np.float64(1511.1951577743778), 'rmse_peak': np.float64(38.87409365855849), 'r2_peak': 0.6034948328087759, 'mae_peak': np.float64(30.519363140125602)}
