{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(310.8571650621597), 'rmse': np.float64(17.631141910329), 'r2': 0.9235149187098761, 'mae': np.float64(12.035125884341177), 'z_threshold': 1.5, 'mse_peak': np.float64(1224.5169557234744), 'rmse_peak': np.float64(34.99309868707649), 'r2_peak': 0.6782923094410349, 'mae_peak': np.float64(28.269061621133346)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(295.569525222276), 'rmse': np.float64(17.19213556316597), 'r2': 0.9269760454405326, 'mae': np.float64(10.959424983420163), 'z_threshold': 1.5, 'mse_peak': np.float64(1497.5955341276815), 'rmse_peak': np.float64(38.69877949144755), 'r2_peak': 0.6070630820981084, 'mae_peak': np.float64(30.699868332962968)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(344.28155886494955), 'rmse': np.float64(18.554825756793015), 'r2': 0.9152909889942195, 'mae': np.float64(12.347011885997054), 'z_threshold': 1.5, 'mse_peak': np.float64(1728.7085670892052), 'rmse_peak': np.float64(41.57774124563773), 'r2_peak': 0.5458300204269646, 'mae_peak': np.float64(33.47238707538638)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(355.03835027928704), 'rmse': np.float64(18.84246136467545), 'r2': 0.912283567332709, 'mae': np.float64(11.898967795818795), 'z_threshold': 1.5, 'mse_peak': np.float64(1598.3339765494222), 'rmse_peak': np.float64(39.979169282883085), 'r2_peak': 0.5806314774509345, 'mae_peak': np.float64(32.84172386102951)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(322.12504730693917), 'rmse': np.float64(17.947842413698066), 'r2': 0.9204151889498133, 'mae': np.float64(12.497990563855838), 'z_threshold': 1.5, 'mse_peak': np.float64(1597.8660395421873), 'rmse_peak': np.float64(39.973316594225544), 'r2_peak': 0.5807542540760012, 'mae_peak': np.float64(31.45446171972797)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(344.6510553999956), 'rmse': np.float64(18.56477997176362), 'r2': 0.9152000759457338, 'mae': np.float64(13.096133118157097), 'z_threshold': 1.5, 'mse_peak': np.float64(1611.0851222064491), 'rmse_peak': np.float64(40.138324855509964), 'r2_peak': 0.5767323012258974, 'mae_peak': np.float64(31.72907469392078)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(348.7570538133226), 'rmse': np.float64(18.67503825466825), 'r2': 0.9138354360761466, 'mae': np.float64(11.80933507593228), 'z_threshold': 1.5, 'mse_peak': np.float64(1684.9520235041432), 'rmse_peak': np.float64(41.04816711503868), 'r2_peak': 0.557904761438861, 'mae_peak': np.float64(33.765530159700674)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(312.0216153165559), 'rmse': np.float64(17.664133585221663), 'r2': 0.9229113615779135, 'mae': np.float64(12.050208183552073), 'z_threshold': 1.5, 'mse_peak': np.float64(1501.5381262295946), 'rmse_peak': np.float64(38.74968549846043), 'r2_peak': 0.6060286305697974, 'mae_peak': np.float64(31.154845471752033)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(250.01669539870937), 'rmse': np.float64(15.811916246891437), 'r2': 0.9382304119811619, 'mae': np.float64(10.516981799543098), 'z_threshold': 1.5, 'mse_peak': np.float64(1170.848685406285), 'rmse_peak': np.float64(34.217666276446806), 'r2_peak': 0.6927944406291193, 'mae_peak': np.float64(27.33374047041703)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(410.9721885558889), 'rmse': np.float64(20.272449002424175), 'r2': 0.8988820436440903, 'mae': np.float64(12.743041222459127), 'z_threshold': 1.5, 'mse_peak': np.float64(2197.536487821306), 'rmse_peak': np.float64(46.87788911439279), 'r2_peak': 0.42265855518647366, 'mae_peak': np.float64(38.19640599861234)}
