{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(308.566590451298), 'rmse': np.float64(17.566063601481638), 'r2': 0.9237649664229078, 'mae': np.float64(11.881327334359435), 'z_threshold': 1.5, 'mse_peak': np.float64(1193.3276710243936), 'rmse_peak': np.float64(34.54457513162369), 'r2_peak': 0.6868964373798738, 'mae_peak': np.float64(27.655744736510727)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(316.62459432738973), 'rmse': np.float64(17.793948250104297), 'r2': 0.9217741410546795, 'mae': np.float64(11.611875895396784), 'z_threshold': 1.5, 'mse_peak': np.float64(1346.8577105593793), 'rmse_peak': np.float64(36.699560086728276), 'r2_peak': 0.6466134509756893, 'mae_peak': np.float64(28.727701071398474)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(321.02617647394857), 'rmse': np.float64(17.91720336642827), 'r2': 0.9206866780138996, 'mae': np.float64(11.59136448164284), 'z_threshold': 1.5, 'mse_peak': np.float64(1681.223080130477), 'rmse_peak': np.float64(41.00272039914519), 'r2_peak': 0.5588831561274727, 'mae_peak': np.float64(31.735814150805226)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(400.25793310848564), 'rmse': np.float64(20.00644728852391), 'r2': 0.9015182405568877, 'mae': np.float64(13.131274693633777), 'z_threshold': 1.5, 'mse_peak': np.float64(1977.89276464578), 'rmse_peak': np.float64(44.47350632281854), 'r2_peak': 0.480363819779419, 'mae_peak': np.float64(36.32348498832071)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(330.39108322256243), 'rmse': np.float64(18.17666314873449), 'r2': 0.9183729668004376, 'mae': np.float64(12.270532583593026), 'z_threshold': 1.5, 'mse_peak': np.float64(1492.9086934472941), 'rmse_peak': np.float64(38.638176632021526), 'r2_peak': 0.608292808475946, 'mae_peak': np.float64(30.282364412213028)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(343.1218827699754), 'rmse': np.float64(18.523549410681944), 'r2': 0.9152276718754724, 'mae': np.float64(12.323936958220164), 'z_threshold': 1.5, 'mse_peak': np.float64(1769.3823631915025), 'rmse_peak': np.float64(42.06402694930078), 'r2_peak': 0.5357520528482301, 'mae_peak': np.float64(33.90934152522684)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(349.1907707517751), 'rmse': np.float64(18.68664685682734), 'r2': 0.9137282811657024, 'mae': np.float64(13.360132891672798), 'z_threshold': 1.5, 'mse_peak': np.float64(1377.0973276531997), 'rmse_peak': np.float64(37.10926201978692), 'r2_peak': 0.6386792246317918, 'mae_peak': np.float64(29.60717944830202)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(390.66700520603), 'rmse': np.float64(19.765298004483263), 'r2': 0.9038780475123438, 'mae': np.float64(13.585465432190531), 'z_threshold': 1.5, 'mse_peak': np.float64(1925.5323144887652), 'rmse_peak': np.float64(43.88088780424531), 'r2_peak': 0.4941200682477701, 'mae_peak': np.float64(35.76409168989621)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(324.6021230196751), 'rmse': np.float64(18.01671787589724), 'r2': 0.920133030354497, 'mae': np.float64(11.11813901133653), 'z_threshold': 1.5, 'mse_peak': np.float64(1797.24277223109), 'rmse_peak': np.float64(42.39390017716098), 'r2_peak': 0.5278245687609535, 'mae_peak': np.float64(34.39757009490434)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(387.9373239083866), 'rmse': np.float64(19.696124591106408), 'r2': 0.9045496739678724, 'mae': np.float64(12.288250505245637), 'z_threshold': 1.5, 'mse_peak': np.float64(2077.2945703027826), 'rmse_peak': np.float64(45.57734711786967), 'r2_peak': 0.45424876666738445, 'mae_peak': np.float64(37.94515224602856)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(424.3595601745816), 'rmse': np.float64(20.599989324623), 'r2': 0.8969182615984461, 'mae': np.float64(13.051086347976687), 'z_threshold': 1.5, 'mse_peak': np.float64(2356.857102129842), 'rmse_peak': np.float64(48.5474726647005), 'r2_peak': 0.3766256433570303, 'mae_peak': np.float64(39.22405651762847)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(309.298074855388), 'rmse': np.float64(17.586872230598253), 'r2': 0.9238985262139198, 'mae': np.float64(11.774504590337127), 'z_threshold': 1.5, 'mse_peak': np.float64(1229.9565400750166), 'rmse_peak': np.float64(35.070736235143634), 'r2_peak': 0.6768632103083885, 'mae_peak': np.float64(28.482838700155614)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(336.2909602507507), 'rmse': np.float64(18.338237653895497), 'r2': 0.9169153322500255, 'mae': np.float64(12.3881117000351), 'z_threshold': 1.5, 'mse_peak': np.float64(1919.2932653199707), 'rmse_peak': np.float64(43.80973938886159), 'r2_peak': 0.49641865040418265, 'mae_peak': np.float64(33.37105075593594)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(395.0365863607218), 'rmse': np.float64(19.875527322834024), 'r2': 0.9040411437001064, 'mae': np.float64(13.158736059149879), 'z_threshold': 1.5, 'mse_peak': np.float64(2152.080220182405), 'rmse_peak': np.float64(46.39051864532671), 'r2_peak': 0.4307878820960611, 'mae_peak': np.float64(38.01969412444249)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(310.91089129175265), 'rmse': np.float64(17.63266546191337), 'r2': 0.9231857791135317, 'mae': np.float64(11.177093566616264), 'z_threshold': 1.5, 'mse_peak': np.float64(1649.6544155350584), 'rmse_peak': np.float64(40.6159379497145), 'r2_peak': 0.5671660960039111, 'mae_peak': np.float64(33.69541707616331)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(295.7476199955514), 'rmse': np.float64(17.197314325078537), 'r2': 0.9272325579106494, 'mae': np.float64(10.751834465283702), 'z_threshold': 1.5, 'mse_peak': np.float64(1592.6231129413623), 'rmse_peak': np.float64(39.90768237997995), 'r2_peak': 0.581582679439109, 'mae_peak': np.float64(32.06551596316912)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(410.649797298813), 'rmse': np.float64(20.264495979392454), 'r2': 0.9002485181142318, 'mae': np.float64(12.887647311833407), 'z_threshold': 1.5, 'mse_peak': np.float64(1786.6914608149968), 'rmse_peak': np.float64(42.26927324682785), 'r2_peak': 0.5274309847217555, 'mae_peak': np.float64(34.56159803224264)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(409.50939425306467), 'rmse': np.float64(20.236338459639004), 'r2': 0.8988258502796517, 'mae': np.float64(13.663852628380127), 'z_threshold': 1.5, 'mse_peak': np.float64(2015.62871543766), 'rmse_peak': np.float64(44.89575386868629), 'r2_peak': 0.47114229641452854, 'mae_peak': np.float64(34.17119489515239)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(325.7256165523353), 'rmse': np.float64(18.04787013894812), 'r2': 0.9208775624559529, 'mae': np.float64(11.513212380603678), 'z_threshold': 1.5, 'mse_peak': np.float64(1695.687663066181), 'rmse_peak': np.float64(41.17872828374112), 'r2_peak': 0.551500935259898, 'mae_peak': np.float64(32.92781578223229)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(349.26078154225195), 'rmse': np.float64(18.688520046869733), 'r2': 0.9140658724647068, 'mae': np.float64(12.403936778827081), 'z_threshold': 1.5, 'mse_peak': np.float64(1519.0818408148582), 'rmse_peak': np.float64(38.97540045740208), 'r2_peak': 0.6009035983582005, 'mae_peak': np.float64(32.37211089737239)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(384.8935566105716), 'rmse': np.float64(19.618704254118608), 'r2': 0.9065050003853994, 'mae': np.float64(12.685032851259725), 'z_threshold': 1.5, 'mse_peak': np.float64(2059.4817558831787), 'rmse_peak': np.float64(45.38151337145092), 'r2_peak': 0.4552796122295909, 'mae_peak': np.float64(35.71322157192552)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(269.5953281035722), 'rmse': np.float64(16.419358334099787), 'r2': 0.9336672179284782, 'mae': np.float64(10.68330467792623), 'z_threshold': 1.5, 'mse_peak': np.float64(1243.8773902983612), 'rmse_peak': np.float64(35.268645994684306), 'r2_peak': 0.6732058950257891, 'mae_peak': np.float64(27.927936039858615)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(395.5928792736758), 'rmse': np.float64(19.889516818507076), 'r2': 0.9022640902562419, 'mae': np.float64(13.743366481710245), 'z_threshold': 1.5, 'mse_peak': np.float64(1787.6536988363378), 'rmse_peak': np.float64(42.28065395469112), 'r2_peak': 0.5309580466225008, 'mae_peak': np.float64(33.4040636413732)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(278.033655156926), 'rmse': np.float64(16.67434122107755), 'r2': 0.9315910035021536, 'mae': np.float64(10.728242564636762), 'z_threshold': 1.5, 'mse_peak': np.float64(1281.374158188772), 'rmse_peak': np.float64(35.796286932987506), 'r2_peak': 0.6633546646732273, 'mae_peak': np.float64(28.414732968820566)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(309.93955371093335), 'rmse': np.float64(17.605100218713137), 'r2': 0.9234257595760313, 'mae': np.float64(12.040017532796131), 'z_threshold': 1.5, 'mse_peak': np.float64(1329.4754058922558), 'rmse_peak': np.float64(36.46197205160818), 'r2_peak': 0.6511741945585083, 'mae_peak': np.float64(28.1479146833599)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(417.67620792888573), 'rmse': np.float64(20.437128172247824), 'r2': 0.8985417234748625, 'mae': np.float64(13.930790394100121), 'z_threshold': 1.5, 'mse_peak': np.float64(1410.4117083054052), 'rmse_peak': np.float64(37.55544845033015), 'r2_peak': 0.6269546887369344, 'mae_peak': np.float64(30.564285401022516)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(354.3617059310065), 'rmse': np.float64(18.824497494780744), 'r2': 0.9139215323550608, 'mae': np.float64(13.1098287806785), 'z_threshold': 1.5, 'mse_peak': np.float64(1788.9452260026555), 'rmse_peak': np.float64(42.29592446090587), 'r2_peak': 0.5268348775489399, 'mae_peak': np.float64(34.28558616170785)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(332.94355993690687), 'rmse': np.float64(18.246741077159694), 'r2': 0.917742347173931, 'mae': np.float64(11.811138441718121), 'z_threshold': 1.5, 'mse_peak': np.float64(1478.0403152529082), 'rmse_peak': np.float64(38.44528989685093), 'r2_peak': 0.6121939517210777, 'mae_peak': np.float64(31.645660571484527)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(351.8136853495058), 'rmse': np.float64(18.756697079963356), 'r2': 0.9134377413576608, 'mae': np.float64(12.773105757459408), 'z_threshold': 1.5, 'mse_peak': np.float64(1351.7504447163074), 'rmse_peak': np.float64(36.766158960602716), 'r2_peak': 0.6448652574804027, 'mae_peak': np.float64(29.664605289406303)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(430.7240121920193), 'rmse': np.float64(20.753891495139396), 'r2': 0.8935845274632832, 'mae': np.float64(14.210325973243934), 'z_threshold': 1.5, 'mse_peak': np.float64(1886.7389788081368), 'rmse_peak': np.float64(43.4366087397271), 'r2_peak': 0.5049601963122412, 'mae_peak': np.float64(35.67463321156281)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(354.73979474555614), 'rmse': np.float64(18.834537285146034), 'r2': 0.9123573290160634, 'mae': np.float64(13.84541180254995), 'z_threshold': 1.5, 'mse_peak': np.float64(1178.97859276035), 'rmse_peak': np.float64(34.33625769882836), 'r2_peak': 0.6906613274715705, 'mae_peak': np.float64(27.676486819262223)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(322.24324345077673), 'rmse': np.float64(17.951134879187354), 'r2': 0.9217234702821457, 'mae': np.float64(12.338541388001586), 'z_threshold': 1.5, 'mse_peak': np.float64(1328.398991196307), 'rmse_peak': np.float64(36.44720827712744), 'r2_peak': 0.648646553177178, 'mae_peak': np.float64(29.670386712579862)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(298.73800761662744), 'rmse': np.float64(17.28403910018221), 'r2': 0.9264967857747836, 'mae': np.float64(11.34754492035666), 'z_threshold': 1.5, 'mse_peak': np.float64(1348.7180374990317), 'rmse_peak': np.float64(36.72489669827584), 'r2_peak': 0.6456619379331676, 'mae_peak': np.float64(28.57076067782225)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(359.59567833318505), 'rmse': np.float64(18.963008156228405), 'r2': 0.9111576254194818, 'mae': np.float64(11.9096505236097), 'z_threshold': 1.5, 'mse_peak': np.float64(2371.163581147354), 'rmse_peak': np.float64(48.69459498904734), 'r2_peak': 0.3778575802444821, 'mae_peak': np.float64(40.11552771682991)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(343.05968591494997), 'rmse': np.float64(18.52187047560127), 'r2': 0.9166669208888432, 'mae': np.float64(12.090615665033077), 'z_threshold': 1.5, 'mse_peak': np.float64(1399.022981624687), 'rmse_peak': np.float64(37.403515631885284), 'r2_peak': 0.6299669376175134, 'mae_peak': np.float64(30.163517141094378)}
